Plamer,40,1660777460.286013
Legat,20,1660778486.204692
Leono,40,1660779434.665941
Alex,130,1660865520.900179
Killer,20,1660865730.653176
Legat,0,1660865817.366136
Leono,50,1660866068.323489
Alex,0,1660866271.217094
Plamer,20,1660866435.245476
Leono,0,1660866539.822458
Motherfucker,0,1660866720.387785
Spider,40,1660866841.127691
Alex,70,1661212843.039134
Alex,40,1661215548.37387
Killer,0,1661297047.348554
Killer,60,1661298528.341262
Spider,160,1661284960.956863
Plamer,40,1661469180.268038
